,,,,,,,,,,,,,,,,
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
04-01-0139-46,04-020,CHIMALTENANGO,CHIMALTENANGO,COLEGIO BLESS,1A. CALLE 9-307 ZONA 4,78397979,SANDRA NINETH LOPEZ GUTIERREZ,EMILIO ANTONIO JUAREZ ZAMORA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0140-46,04-020,CHIMALTENANGO,CHIMALTENANGO,COLEGIO BLESS,1A. CALLE 9-307 ZONA 4,78397979,SANDRA NINETH LOPEZ GUTIERREZ,EMILIO ANTONIO JUAREZ ZAMORA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0141-46,04-020,CHIMALTENANGO,CHIMALTENANGO,COLEGIO BLESS,1A. CALLE 9-307 ZONA 4,78397979,SANDRA NINETH LOPEZ GUTIERREZ,EMILIO ANTONIO JUAREZ ZAMORA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-0142-46,04-020,CHIMALTENANGO,CHIMALTENANGO,COLEGIO BLESS,1A. CALLE 9-307 ZONA 4,78397979,SANDRA NINETH LOPEZ GUTIERREZ,EMILIO ANTONIO JUAREZ ZAMORA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0144-46,04-027,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO MIXTO TECNOLOGICO CENTRAL CIUDAD DE LOS ESCUDOS,2A. CALLE 2-45 ZONA 4,78494236,JULIO ANTONIO MUTZUTZ CATU,EDVIN AMILCAR PER SISIMIT,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0145-46,04-027,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO MIXTO TECNOLOGICO CENTRAL CIUDAD DE LOS ESCUDOS,2A. CALLE 2-45 ZONA 4,78494236,JULIO ANTONIO MUTZUTZ CATU,EDVIN AMILCAR PER SISIMIT,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0147-46,04-027,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE ESTUDIOS INTEGRADOS CEI,"1A. CALLE PASAJE 6-106 CASA ""I"", ALDEA BUENA VISTA, ZONA 8",78739560,JULIO ANTONIO MUTZUTZ CATU,ALEJANDRO ISRAEL RIVAS RAMIREZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0148-46,04-020,CHIMALTENANGO,CHIMALTENANGO,COLEGIO MENBEN,"PARCELA 37A, LA ALAMEDA",78395581,SANDRA NINETH LOPEZ GUTIERREZ,MAUREEN ANNE MENDEZ BENSEN DE LLARENA,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0152-46,04-027,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE ESTUDIOS TÉCNICOS Y AVANZADOS DE CHIMALTENANGO NO. 2 (C E T A CH NO 2),3A. CALLE 6-125 ZONA 4,78404789,JULIO ANTONIO MUTZUTZ CATU,MIRSA NOEMÍ CASTILLO MONROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-0153-46,04-027,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE ESTUDIOS TÉCNICOS Y AVANZADOS DE CHIMALTENANGO NO. 2 (C E T A CH NO 2),3A. CALLE 6-125 ZONA 4,78404789,JULIO ANTONIO MUTZUTZ CATU,MIRSA NOEMÍ CASTILLO MONROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-0161-46,04-027,CHIMALTENANGO,CHIMALTENANGO,LICEO NUEVA GENERACION,1A. AVENIDA 4-52 ZONA 4,78392827,JULIO ANTONIO MUTZUTZ CATU,LESLIE IVETTE SANCHEZ VASQUEZ DE RAMIREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0162-46,04-020,CHIMALTENANGO,CHIMALTENANGO,LICEO INTEGRAL CIENTIFICO EN COMPUTACION,4A. AVENIDA 5-80 ZONA 2,78392456,SANDRA NINETH LOPEZ GUTIERREZ,JOSE ALBERTO TAGUAL CHAVAC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0165-46,04-020,CHIMALTENANGO,CHIMALTENANGO,LICEO CRISTIANO HISPANOAMERICANO,3A. AVENIDA 1-64 ZONA 2,78395647,SANDRA NINETH LOPEZ GUTIERREZ,OTONIEL TEXAJ MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
