,,,,,,,,,,,,,,,,
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
05-01-0270-46,05-003,ESCUINTLA,ESCUINTLA,LICEO EDUCATIVO TECNICO EVANGELICO,1A. AVENIDA 6-08 ZONA 4 ESCUINTLA,78899679,NILDA JANETHE IBARRA BARRERA,SILVIA HONESTINA HURTARTE RECINOS DE CUEVAS,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0271-46,05-003,ESCUINTLA,ESCUINTLA,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSE•ANZA,5A CALLE 5-10 ZONA 3 COLONIA MADRID,50232975,NILDA JANETHE IBARRA BARRERA,MIRIAM AZUCENA MARTINEZ GARCIA,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0272-46,05-003,ESCUINTLA,ESCUINTLA,INSTITUTO TECNICO CIENCIAS INDUSTRIALES,2DA. CALLE 3-38 ZONA 1,78898879,NILDA JANETHE IBARRA BARRERA,MAYRON USIEL LOAIZA GARCIA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0273-46,05-003,ESCUINTLA,ESCUINTLA,LICEO EDUCATIVO TECNICO EVANGELICO,1ERA AVENIDA 6-08 ZONA 1,78899679,NILDA JANETHE IBARRA BARRERA,SILVIA HONESTINA HURTARTE RECINOS DE CUEVAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0274-46,05-003,ESCUINTLA,ESCUINTLA,LICEO EDUCATIVO TECNICO EVANGELICO,1ERA AVENIDA 6-08 ZONA 4,78899679,NILDA JANETHE IBARRA BARRERA,SILVIA HONESTINA HURTARTE RECINOS DE CUEVAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ESCUINTLA
05-01-0275-46,05-003,ESCUINTLA,ESCUINTLA,LICEO EDUCATIVO TECNICO EVANGELICO,1RA. AVENIDA 6-08 ZONA 4,78899679,NILDA JANETHE IBARRA BARRERA,SILVIA HONESTINA HURTARTE RECINOS DE CUEVAS,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0278-46,05-003,ESCUINTLA,ESCUINTLA,INSTITUTO TêCNICO CIENCIAS INDUSTRIALES,2DA. CALLE 3-28 ZONA 1,78898879,NILDA JANETHE IBARRA BARRERA,MAYRON USIEL LOAIZA GARC?A,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0280-46,05-003,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO DR. JOSê SEVERO MART?NEZ,5A. AVENIDA 6-61 ZONA 1,48734181,NILDA JANETHE IBARRA BARRERA,BENJAMIN HUGO G?LVEZ G?LVEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0288-46,05-003,ESCUINTLA,ESCUINTLA,CENTRO EDUCACIONAL GUATEMALTECO DEL SUR,6A. CALLE 2-73 ZONA 1,78894544,NILDA JANETHE IBARRA BARRERA,HILDA YOLANDA V?SQUEZ L?PEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0289-46,05-003,ESCUINTLA,ESCUINTLA,LICEO FUENTE DE VIDA,5TA CALLE 3-33 ZONA 1,40771935,NILDA JANETHE IBARRA BARRERA,DIOGENES BAUDILIO FIGUEROA CRUZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
